Node Number	Total Deformation (m)
1420	0.20591
1421	0.20586
1422	0.20586
1423	0.2058
1424	0.20574
1425	0.20571
1426	0.20587
1427	0.20584
1428	0.20585
1429	0.2058
1430	0.20591
1431	0.2059
1432	0.20594
1433	0.20591
1434	0.20601
1435	0.20605
1436	0.20614
1437	0.20617
1438	0.20627
1439	0.20631
1440	0.20641
1441	0.20645
1442	0.20657
1443	0.20664
1444	0.20674
1445	0.20682
1446	0.20693
1447	0.20698
1448	0.20704
1449	0.20704
1450	0.20713
1451	0.20714
1452	0.2072
1453	0.2072
1454	0.20724
1455	0.20724
1456	0.20728
1457	0.20724
1458	0.20726
1459	0.20723
1460	0.20724
1461	0.20719
1462	0.20716
1463	0.2071
1464	0.20707
1465	0.20696
1466	0.20695
1467	0.20687
1468	0.20682
1469	0.20674
1470	0.2067
1471	0.20661
1472	0.20656
1473	0.20646
1474	0.20642
1475	0.20633
1476	0.2063
1477	0.13683
1478	0.13683
1479	0.13677
1480	0.13683
1481	0.13676
1482	0.13684
1483	0.13677
1484	0.13681
1485	0.13689
1486	0.13695
1487	0.13683
1488	0.13692
1489	0.13701
1490	0.13712
1491	0.13692
1492	0.13694
1493	0.13733
1494	0.13737
1495	0.13721
1496	0.13732
1497	0.13735
1498	0.13749
1499	0.13734
1500	0.13742
1501	0.13733
1502	0.13723
1503	0.13749
1504	0.13746
1505	0.13679
1506	0.13691
1507	0.13707
1508	0.13695
1509	0.1914
1510	0.19135
1511	0.1913
1512	0.19126
1513	0.19123
1514	0.19119
1515	0.19116
1516	0.19115
1517	0.19114
1518	0.19113
1519	0.19113
1520	0.19114
1521	0.19115
1522	0.19116
1523	0.19119
1524	0.19122
1525	0.19125
1526	0.19128
1527	0.19131
1528	0.19136
1529	0.1914
1530	0.19145
1531	0.19151
1532	0.19157
1533	0.19163
1534	0.19169
1535	0.19175
1536	0.19181
1537	0.19187
1538	0.19193
1539	0.19199
1540	0.19205
1541	0.1921
1542	0.19214
1543	0.19218
1544	0.19222
1545	0.19226
1546	0.19227
1547	0.1923
1548	0.19232
1549	0.19234
1550	0.19235
1551	0.19235
1552	0.19235
1553	0.19234
1554	0.19233
1555	0.19231
1556	0.19229
1557	0.19225
1558	0.19221
1559	0.19217
1560	0.19212
1561	0.19207
1562	0.19201
1563	0.19196
1564	0.1919
1565	0.19185
1566	0.19179
1567	0.19173
1568	0.19167
1569	0.19161
1570	0.19156
1571	0.1915
1572	0.19145
1573	0.17797
1574	0.17826
1575	0.17831
1576	0.17819
1577	0.17881
1578	0.17794
1579	0.17839
1580	0.17842
1581	0.17868
1582	0.17806
1583	0.17844
1584	0.17861
1585	0.17878
1586	0.1784
1587	0.17889
1588	0.17901
1589	0.17906
1590	0.17864
1591	0.17901
1592	0.17913
1593	0.17939
1594	0.17876
1595	0.1792
1596	0.17916
1597	0.17953
1598	0.17856
1599	0.17882
1600	0.17881
1601	0.17941
1602	0.17827
1603	0.17899
1604	0.17909
1605	0.19155
1606	0.1916
1607	0.19151
1608	0.19148
1609	0.19146
1610	0.19143
1611	0.19139
1612	0.19139
1613	0.19136
1614	0.19135
1615	0.19133
1616	0.19133
1617	0.19133
1618	0.19134
1619	0.19136
1620	0.1914
1621	0.19142
1622	0.19146
1623	0.19149
1624	0.19153
1625	0.19159
1626	0.19165
1627	0.1917
1628	0.19176
1629	0.19181
1630	0.19187
1631	0.19192
1632	0.19197
1633	0.19202
1634	0.19207
1635	0.19213
1636	0.19219
1637	0.19224
1638	0.1923
1639	0.19233
1640	0.19238
1641	0.19244
1642	0.19247
1643	0.19248
1644	0.19252
1645	0.19253
1646	0.19254
1647	0.19253
1648	0.19252
1649	0.1925
1650	0.19248
1651	0.19247
1652	0.19245
1653	0.19242
1654	0.1924
1655	0.19235
1656	0.19231
1657	0.19229
1658	0.19224
1659	0.19218
1660	0.19214
1661	0.19207
1662	0.19202
1663	0.19195
1664	0.19188
1665	0.19181
1666	0.19175
1667	0.1917
1668	0.19166
1669	0.19251
1670	0.19241
1671	0.19237
1672	0.19241
1673	0.19272
1674	0.19263
1675	0.19244
1676	0.19247
1677	0.19246
1678	0.19251
1679	0.19257
1680	0.19264
1681	0.1927
1682	0.19286
1683	0.19301
1684	0.1931
1685	0.19315
1686	0.19322
1687	0.19326
1688	0.19328
1689	0.19333
1690	0.19343
1691	0.19347
1692	0.19347
1693	0.19337
1694	0.19331
1695	0.19321
1696	0.1931
1697	0.19301
1698	0.193
1699	0.19295
1700	0.19287
1701	0.19256
1702	0.1926
1703	0.19259
1704	0.19255
1705	0.19253
1706	0.19258
1707	0.19258
1708	0.19253
1709	0.19244
1710	0.19241
1711	0.19235
1712	0.19238
1713	0.1923
1714	0.19234
1715	0.19234
1716	0.1924
1717	0.19242
1718	0.19251
1719	0.19256
1720	0.19265
1721	0.19267
1722	0.19277
1723	0.19277
1724	0.19283
1725	0.19284
1726	0.19289
1727	0.19289
1728	0.19298
1729	0.19294
1730	0.19303
1731	0.19305
1732	0.19314
1733	0.19317
1734	0.19327
1735	0.19331
1736	0.19338
1737	0.19343
1738	0.19355
1739	0.1936
1740	0.19359
1741	0.19354
1742	0.19353
1743	0.19348
1744	0.19351
1745	0.19341
1746	0.19343
1747	0.19339
1748	0.1934
1749	0.19336
1750	0.19338
1751	0.19334
1752	0.19334
1753	0.19331
1754	0.19335
1755	0.19333
1756	0.19325
1757	0.19313
1758	0.19306
1759	0.19295
1760	0.19292
1761	0.19278
1762	0.19276
1763	0.19268
1764	0.19266
1765	2.14E-04
1766	2.00E-04
1767	1.96E-04
1768	2.02E-04
1769	2.20E-04
1770	2.49E-04
1771	2.51E-04
1772	2.47E-04
1773	2.46E-04
1774	2.43E-04
1775	2.43E-04
1776	2.48E-04
1777	2.64E-04
1778	2.64E-04
1779	2.47E-04
1780	2.36E-04
1781	2.53E-04
1782	2.67E-04
1783	2.75E-04
1784	2.72E-04
1785	2.64E-04
1786	2.35E-04
1787	2.39E-04
1788	2.28E-04
1789	2.44E-04
1790	2.44E-04
1791	2.53E-04
1792	2.51E-04
1793	2.45E-04
1794	2.05E-04
1795	2.20E-04
1796	2.21E-04
1797	2.47E-04
1798	2.52E-04
1799	2.35E-04
1800	2.12E-04
1801	3.26E-03
1802	3.85E-03
1803	3.13E-03
1804	3.64E-03
1805	3.87E-03
1806	3.60E-03
1807	3.69E-03
1808	3.78E-03
1809	3.52E-03
1810	3.68E-03
1811	3.64E-03
1812	3.10E-03
1813	3.51E-03
1814	2.75E-03
1815	5.00E-03
1816	3.26E-03
1817	3.99E-03
1818	2.61E-03
1819	4.23E-03
1820	4.95E-03
1821	4.35E-04
1822	4.70E-04
1823	3.80E-04
1824	4.50E-04
1825	4.17E-04
1826	5.27E-04
1827	5.64E-04
1828	5.18E-04
1829	5.47E-04
1830	5.03E-04
1831	5.42E-04
1832	5.05E-04
1833	5.66E-04
1834	5.69E-04
1835	5.63E-04
1836	5.01E-04
1837	5.35E-04
1838	5.13E-04
1839	5.22E-04
1840	5.17E-04
1841	4.21E-04
